,Topic,Count,Name
46,45,50,45_speakers corner muslim_corner muslim_muslim speakers_muslim speakers corner
47,46,50,46_corner jesus_speakers corner jesus_god speakers corner_god speakers
48,47,49,47_leaving_leaving islam_muslims leaving_muslims leaving islam
49,48,49,48_satanic_satanic verses_verses_satan
50,49,46,49_usama_usama dakdok_dakdok_islam usama dakdok
51,50,45,50_learn islam_christians learn islam_christians learn_scholars
52,51,45,51_hijab_mohammed hijab_mohammed_hijab allah
53,52,45,52_muhammad meets_room_meets_boom
54,53,45,53_open skype_skype_open_open skype qa
55,54,44,54_crucifixion_crucified_denying crucifixion_crucifixion jesus
56,55,43,55_gospel_authorship_authorship dating_answering muslims authorship
57,56,43,56_dawah team_team_dawah_speakers corner dawah
58,57,43,57_persecution_coptic_christian persecution_armenian
59,58,43,58_quran bob_bob_quran bob speakers_bob speakers corner
60,59,41,59_christian prince indonesian_prince indonesian_prince indonesian subtitles_indonesian subtitles clip
61,60,41,60_moonotheism_moon_pagan_splitting
62,61,41,61_song_hindi_christian song_hindi christian
63,62,40,62_speakers corner dawah_corner dawah_dawah team_team
64,63,40,63_girl_muslim girl_girl met_met
65,64,39,64_streaming answering islams_streaming_streaming answering_live streaming
66,65,39,65_dawah_dawah gangs_muslim dawah_gangs
67,66,39,66_atheists_atheism_wreasonedanswers_humanism
68,67,38,67_speakers corner hyde_corner hyde_corner hyde park_hyde park
69,68,38,68_exmuslim_testimony exmuslim_christ testimony exmuslim_testimony
70,69,38,69_muhammad bible_muhammad mentioned_mentioned_bible
71,70,38,70_wife_beat_beating_wife beating
72,71,36,71_tawhid_tawhid exposed_tawhid dilemma_tawhid dilemma ep
73,72,35,72_ali dawah_ali_dawah_speakers corner ali
74,73,35,73_exmuslim woman_testimony exmuslim woman_woman_testimony exmuslim
75,74,35,74_skype_open skype_open_skype qa
76,75,34,75_rob christian vs_christian vs_rob christian_rob
77,76,34,76_apologetics_apologetics islam_apologetics islam class_islam class
78,77,34,77_debate_speakers corner debate_corner debate_debate bob
79,78,33,78_mary_marian_doctrines_marian doctrines
80,79,33,79_condemns muhammad_muhammad muslim_condemns_cartoons
81,80,33,80_theos_melchizedek_pt_jesus theos
82,81,32,81_cira_conference_cira online conference_cira online
83,82,30,82_muslim woman_woman_christ muslim woman_woman left
84,83,30,83_blasphemy_honor_students behead_blasphemers
85,84,30,84_hafs_26_different_26 different
86,85,29,85_left islam_left_left islam left_defender
87,86,29,86_quran_quran man_quran allah_book
88,87,29,87_wife_wives_wife muhammad_married prophet muhammad
89,88,29,88_testament ep_old testament ep_trinity old testament_trinity old
90,89,29,89_hatun_hatun tash_tash_police
91,90,29,90_hour_day hour_hour pt_sons knowledge
92,91,29,91_trinity_trinity quran_trinity verse_trinity christian
93,92,28,92_angelic_jesus angelic creatures_angelic creatures_hebrews jesus angelic
94,93,28,93_tate_andrew tate_andrew_new david wood
95,94,28,94_baptized_baptized islam christ_baptized islam_exmuslims baptized
96,95,28,95_mosque_dearborn_mosque today_unwelcome
97,96,28,96_preacher daniel_preacher_daniel_daniel speakers
98,97,28,97_muslims love_love muslims love_love muslims_love
99,98,27,98_salvation_hamza abdul_abdul malik_hamza abdul malik
100,99,27,99_cain_cain speakers corner_cain speakers_cain vs
101,100,27,100_grooming_gangs_grooming gangs_islamic grooming
102,101,27,101_isaiah_isaiah 53_53_suffering servant
103,102,27,102_corruption_corrupted_corruption quran_quran corrupted
104,103,27,103_radical truth_radical_truth_steps share gospel
105,104,27,104_ehrman_bart ehrman_bart_dr bart
106,105,27,105_holes_holes narrative_narrative_holey
107,106,27,106_ramadan_laughter_ramadan laughter_jaiapologetics ramadan laughter
108,107,26,107_christianity_converts christianity_converts_converting
109,108,26,108_malayali_16_malayali muslim_16 malayali
110,109,25,109_dr zakir_dr zakir naik_zakir_zakir naik
111,110,25,110_education_purpose_watch_education purpose
112,111,25,111_war_islams war christianity_war christianity_islams war
113,112,25,112_pedophilia_sexual_muslim preacher_promote pedophilia
114,113,24,113_muslims confused_confused_allah makes_mistakes allah
115,114,24,114_indonesian_indonesian subtitles_subtitles_shamoun indonesian
116,115,24,115_apostasy_avalanche_apostates_tsunami
117,116,23,116_met_met jesus_sunni_sunni muslim
118,117,23,117_hatun_quran qurans_quran hatun_hatun tash
119,118,23,118_allah god_god_god bible_arabian
120,119,23,119_islam christ muslims_christ muslims_christ muslims leaving_leaving islam
121,120,23,120_angels_angel_jinn_gabriel
122,121,23,121_hatun godwin_godwin_hatun_godwin muhammad
123,122,22,122_sunni_critique sunni_beliefs_tenets pt
124,123,22,123_unitarian_carlos_heretic carlos_heretic
125,124,22,124_quran dr jay_sifting quran dr_sifting quran_sifting
126,125,22,125_kifle_le_muslimoch_ye
127,126,22,126_farid_farid responds_responds_christian farid
128,127,22,127_arabic 4k_arabic 4k abdullahrushdie_abdullahrushdie_4k abdullahrushdie
129,128,21,128_isa_isa islam_vs jesus bible_isa islam vs
130,129,21,129_isaiah_isaiah 42_42_mentioning muhammad book
131,130,21,130_journeys_journeys christ_christ amazing_amazing
132,131,21,131_qibla_controversy_qibla controversy_qibla dilemma
133,132,20,132_chair_sit_bed_stupidity muhammad
134,133,20,133_test_ask_laundry_laundry pretty
135,134,20,134_allah young_allah young man_allah allah_young man
136,135,20,135_black_prophet muhammad love_love black_muhammad love black
137,136,20,136_corner hyde_corner hyde park_speakers corner hyde_hyde park
138,137,20,137_shabir ally_ally_shabir_vs shabir ally
139,138,20,138_livestream_live stream_robert spencer_spencer
140,139,20,139_video_muslim youtubers_youtuber_youtubers
141,140,20,140_arian_bible arian_conflict_bible arian cultists
142,141,19,141_hindu_brahmin_lovely_indian
143,142,19,142_adam_tall_created_created adam
144,143,19,143_sheikh uthman_sheikh uthman vs_uthman vs_uthman
145,144,19,144_james_whites_james whites_james white
146,145,19,145_errors bible_contradictions errors bible_contradictions errors_bible contradictions
147,146,19,146_exposed_muhammad exposed_muhammad exposed islam_exposed david
148,147,19,147_peace_religion peace_islam religion peace_islam religion
149,148,19,148_woman_iran_woman egypt_woman egypt islam
150,149,19,149_black stone_stone_black_kissing
151,150,19,150_saws_02_01_feel pretty
152,151,18,151_origins_origins islam_history islam_unknown history islam
153,152,18,152_verses_quran verses_missing_200
154,153,18,153_al fadi_fadi_al_live al fadi
155,154,18,154_paradise_paradise speakers corner_paradise speakers_tilth
156,155,18,155_violence_promote violence_nadir_david wood vs
157,156,18,156_questions_questions ex_questions ex muslim_lot questions
158,157,18,157_christmas_christmas story_story immanuel_immanuel come
159,158,18,158_uncle_uncle asif_asif_uncle sam
160,159,17,159_objections muslims_bring objections muslims_bring objections_unitarians
161,160,17,160_monotheism_islamic monotheism_corner islamic monotheism_godlogic
162,161,17,161_mohammad_jihad mohammad_prince jihad mohammad_prince jihad
163,162,17,162_muhammad ali deceived_ali deceived_muhammad ali_ataie
164,163,17,163_script_dawah script_dawah_script speakers corner
165,164,17,164_original sin_islamic original sin_sin dilemma_original sin dilemma
166,165,17,165_volume_volume david_volume david wood_islam volume
167,166,17,166_lying_obligatory_lying islam_obligatory lying
168,167,17,167_adnan rashid_sheep_rashid_adnan
169,168,17,168_prince powerful_christian prince powerful_powerful_prince powerful father
170,169,17,169_adult_breastfeeding_adult breastfeeding_breast suckling
171,170,16,170_islam dr jay_sources islam dr_sources islam_islam dr
172,171,16,171_refuting muslim objections_muslim objections_refuting muslim_objections
173,172,16,172_salman_rushdie_salman rushdie_want kill salman
174,173,16,173_israel_lost sheep_palestinian_sheep
175,174,16,174____
176,175,16,175_muhammad atheism episode_atheism episode_muhammad atheism_atheism
177,176,16,176_nabeel_nabeel qureshi_qureshi_testimony nabeel qureshi
178,177,16,177_paperboy_paperboy speakers_paperboy speakers corner_ft paperboy
179,178,16,178_arabic qurans_different arabic qurans_different arabic_hatun speakers corner
180,179,16,179_islam watch_convert islam watch_convert islam_convert
181,180,16,180_pagan_pagans_practices_pagan practices
182,181,15,181_fadi_al fadi_al_saudi
183,182,15,182_abdools_prince soft_prince soft abdools_christian prince soft
184,183,15,183_sahih_bukhari_sahih bukhari_destroy sahih bukhari
185,184,15,184_death_jesus death_death confirmed_jesus death confirmed
186,185,15,185_indonesian_subtitles christian prince_subtitles christian_indonesian subtitles christian
187,186,15,186_moses_like moses_muhammad like moses_muhammad like
188,187,15,187_comedy_islamicize_comedysatire_injil comedy
189,188,15,188_heaven_rewards muslim men_rewards_allahs rewards
190,189,15,189_killed_killed muhammad_killed muhammad muhammad_muhammad muhammad
191,190,15,190_hatun speakers_hatun speakers corner_hatun_sht
192,191,14,191_plagiarized_muhammad plagiarized_satan islam critiqued_plagiarized story
193,192,14,192_greg_stafford_greg stafford_cultist
194,193,14,193_afghanistan_afghanistan islam_afghanistan islam christ_islam christ testimony
195,194,14,194_farooq_sheikh uthman farooq_uthman_sheikh uthman
196,195,14,195_prince kicks_muslims mind_islam muslims mind_prince kicks islam
197,196,14,196_allah satan_satan_proves allah satan_proves allah
198,197,14,197_interview_interview tony_interview tony gurule_gurule
199,198,14,198_sexual_abuse_prostitution_laws islam
200,199,14,199_sinai_mt sinai_mt_mt sinai arabia
201,200,14,200_radical truth_radical_truth_fascism
202,201,14,201_jamal_jamal badawi_badawi_history muslimchristian
203,202,14,202_ex muslim muslims_muslim muslims_sara ex muslim_sara ex
204,203,14,203____
205,204,14,204_corrupt_bible corrupt_claim bible_corruption
206,205,13,205_hamza yusuf_yusuf_hamza_hamza yusuf exposed
207,206,13,206_islamophobia_explains islamophobia_islamophobia allah_muslim explains islamophobia
208,207,13,207_somali_somali muslim_somali muslim converts_muslim converts christianity
209,208,13,208_taliban_afghanistan_taliban afghan_supports taliban
210,209,13,209_islamic dilemma_bible islamic dilemma_islamic dilemma david_quran bible islamic
211,210,13,210_growing_growing religion_fastest growing religion_islam worlds
212,211,13,211_abrahamic_islam abrahamic_abrahamic religion_religion
213,212,13,212_street preacher_preacher hyde_preacher hyde park_park london
214,213,13,213_prince analysis_christian prince analysis_sermon famous_analysis
215,214,12,214_sunni_sunni muslim_arab sunni muslim_arab sunni
216,215,12,215_holes narrative_holes_narrative_easy yes
217,216,12,216_son man_messiah ep_man jesus_man jesus messiah
218,217,12,217_muhammed_muhammed islam christ_muhammed islam_testimony muhammed islam
219,218,12,218_course_online course_online_dr tony
220,219,12,219_rob christian episode_christian episode_rob christian_rob
221,220,12,220_mustafa_mustafa islam christ_testimony mustafa_mustafa islam
222,221,12,221_sudan_sudan islam christ_sudan islam_sudan testimony
223,222,12,222_east vs_east vs west_vs west_west
224,223,12,223_basis athanasian creed_athanasian_athanasian creed_basis athanasian
225,224,12,224_rabbi_talmud_rabbi mort_mort
226,225,12,225_tiktok_tiktok discussion_tiktok discussion muslims_discussion muslims
227,226,11,226_metaretard_muslim metaretard_nature_metaretard agrees
228,227,11,227_muslims deceived allah_muslims deceived_deceived allah_deceived
229,228,11,228_abbas_abbas questions_abbas vs_abbas speakers corner
230,229,11,229_uncle asif_asif_uncle_ft uncle
231,230,11,230_rachid_brother rachid_christ testimony ibn_islam christ testimony
232,231,10,231_god live debate_god live_live debate_god
233,232,10,232_abdul perfect_abdul perfect arabic_perfect arabic_abdul
234,233,10,233_messiah_jesus messiah_tawhid dilemma ep_tawhid dilemma
235,234,10,234_jizya_humiliation_jizya tax_humiliation payment
236,235,10,235_conundrum episode_qiraat conundrum episode_qiraat conundrum_conundrum
237,236,10,236_iran islam_iran islam christ_iran_christ testimony amir
